,Date,News,Price,fear-and-greed-index
15,3/29/2022,CNBC Crypto World features the latest news and daily trading updates from the digital currency markets and provides viewers with a look at what’s ahead ...,1,74
16,3/29/2022,CNBC’s Kate Rooney reports on a new stablecoin that has caught attention from regulators.,1,74
17,3/25/2022,"The exchange traded funds that track bitcoin futures have been pummeled in their first few months of existence, but there may be reasons to be ...",1,71
18,3/25/2022,"Faced with stiffening sanctions from Western countries over its invasion of Ukraine, Russia is considering accepting bitcoin as payment for its oil and gas exports.In ...",1,71
19,3/25/2022,CNBC Crypto World features the latest news and daily trading updates from the digital currency markets and provides viewers with a look at what’s ahead ...,1,71
20,3/23/2022,"Giles Keating, director of Bitcoin Suisse, discusses the likelihood of a recession by year-end and the outlook for bond yields and inflationary pressures.",1,63
21,3/23/2022,"On the morning that Russia went to war with Ukraine, Fadey woke up at 9am to a deluge of Telegram messages from friends asking him ...",1,63
22,3/23/2022,"Katie Stockton, founder and managing partner at Fairlead Strategies, which is launching the Fairlead Tactical Sector ETF on Wednesday, joins CNBC’s ‘Squawk Box’ to discuss ...",1,63
23,3/19/2022,CNBC Crypto World features the latest news and daily trading updates from the digital currency markets and provides viewers with a look at what’s ahead ...,1,58
24,3/17/2022,DoubleLine Capital CEO Jeffrey Gundlach said he would prefer bitcoin to gold in the near term as the cryptocurrency trades near the low end of ...,0,43
25,3/17/2022,"Galaxy Digital CEO Mike Novogratz joins CNBC’s ‘Squawk Box’ to discuss cryptocurrencies, interest rates and more.",0,43
26,3/9/2022,Cryptocurrencies were higher Wednesday after President Joe Biden announced his highly anticipated executive order on digital assets that took a supportive stance toward the industry.Bitcoin ...,1,43
27,3/7/2022,Your next order from Shake Shack might come with a side of crypto.The popular burger chain on Thursday announced that it would offer cash-back rewards ...,0,59
28,3/7/2022,CNBC’s Kate Rooney reports on recent price action in cryptocurrencies.,0,59
29,3/3/2022,CNBC Crypto World features the latest news and daily trading updates from the digital currency markets and provides viewers with a look at what’s ahead ...,0,43
30,3/3/2022,"Longtime investor Bill Gross said Thursday he’s still trading meme stocks for quick profits, and he’s also dabbling in cryptocurrencies even though he believes they ...",0,43
31,3/1/2022,"Bitcoin jumped as much as 16% on Tuesday, continuing its sharp rebound as the Russian assault on Ukraine continues and the U.S. ratchets up sanctions.The ...",1,34
32,3/1/2022,CNBC’s Kate Rooney reports on cryptocurrency prices as a ‘store of value’.,1,34
33,3/1/2022,"Emily Parker, CoinDesk executive director of global content, joins CNBC’s ‘Squawk Box’ to discuss recent moves in cryptocurrency markets ahead of the open.",1,34
34,3/1/2022,"Veteran investor Mark Mobius said the recent rally in bitcoin can be attributed to Russians buying into the cryptocurrency.“I would not be a buyer, but ...",1,34
35,3/1/2022,A federal prosecutor said in court Monday that he and lawyers for a woman accused of trying to launder $4.5 billion in stolen bitcoin with ...,1,34
36,3/1/2022,Mark Mobius of Mobius Capital Partners discusses the surge in bitcoin prices after sanctions against Russia were announced in response to its invasion of Ukraine.,1,34
37,2/25/2022,CNBC’s Dominic Chu reports on recent trends in cryptocurrency prices.,1,33
38,2/25/2022,Cryptocurrencies rose on Friday following a steep sell-off a day earlier that saw around $150 billion wiped off the market after Russia invaded Ukraine.Bitcoin last ...,1,33
39,2/25/2022,Bitcoin donations to the Ukrainian army are soaring after Moscow launched a large-scale offensive against Ukraine early Thursday.New data from blockchain analytics firm Elliptic shows ...,1,33
40,2/25/2022,"Anthony Pompliano, head of Pomp Investments, joins ‘Squawk Box’ to break down the latest moves in the cryptocurrency markets.",1,33
41,2/23/2022,CNBC Crypto World features the latest news and daily trading updates from the digital currency markets and provides viewers with a look at what’s ahead ...,0,40
42,2/23/2022,CNBC’s MacKenzie Sigalos explains the latest moves in cryptocurrency prices as Russia escalates tensions with Ukraine.,0,40
43,2/23/2022,"Juthica Chou, head of OTC options trading at Kraken, discusses what’s been driving the action in the cryptocurrency market, whether it’s been largely fears over ...",0,40
44,2/23/2022,A key investment case for bitcoin is deteriorating as geopolitical uncertainty and rising inflation hammer cryptocurrency prices.The price of bitcoin fell to a two-week low ...,0,40
45,2/21/2022,"Bitcoin may not see a bull market until late 2024 or the beginning of 2025, if past price cycles are any indication, according to the ...",0,36
46,2/21/2022,"Du Jun, co-founder of the cryptocurrency exchange, told CNBC’s Arjun Kharpal that his prediction is based on when the next bitcoin “halving” occurs.",0,36
47,2/15/2022,CNBC Crypto World features the latest news and daily trading updates from the digital currency markets and provides viewers with a look at what’s ahead ...,1,57
48,2/15/2022,CNBC.com’s Tanaya Macheel explains what crypto analysts and investors are watching as tensions between Russia and Ukraine escalate.,1,57
49,2/15/2022,"CNBC’s Kate Rooney reports on the latest moves in cryptocurrencies, which are trading higher on reports that Russia will pull back some troops from the ...",1,57
50,2/15/2022,CNBC Crypto World features the latest news and daily trading updates from the digital currency markets and provides viewers with a look at what’s ahead ...,1,57
51,2/15/2022,"Cryptocurrencies rose Tuesday with U.S. equities as tensions between Ukraine and Russia appeared to be easing.Bitcoin climbed 4.6% to $44,177.34, while ether rose 7.6% to ...",1,57
52,2/11/2022,A lawyer for the New York couple accused of an “extraordinarily complex” scheme to launder $4.5 billion in stolen bitcoin argues in a court filing ...,0,61
53,2/9/2022,"Leah Wald, Valkyrie Investments CEO, joins ’The Exchange to discuss rolling out the first-ever bitcoin miners ETF on the Nasdaq.",1,60
54,2/7/2022,"Gold prices have remained resilient in recent weeks in the face of broad market volatility, decoupling somewhat from its typical price drivers — bond yields ...",1,58
55,2/7/2022,"Bitcoin is the talk of the financial world.The world’s largest cryptocurrency started 2020 at $9,000. As time passed, bitcoin’s value rose sharply, soaring to an ...",1,58
56,2/7/2022,"Ian Balina, Token Metrics founder & CEO, joins ‘Squawk on the Street’ to discuss why he believes bitcoin could run up to $50,000 in February, ...",1,58
57,2/7/2022,Tesla said Monday in a filing with the SEC it was holding nearly $2 billion in bitcoin at the end of last year.The company purchased ...,1,58
58,2/5/2022,"It’s been another wild week for bitcoin.The cryptocurrency surged 11% on Friday, bringing it back above $40,000 for the first time in two weeks. A ...",0,48
59,2/5/2022,"Allie Eve Knox creates adult content.She makes sexually provocative videos, sells subscription services on platforms like OnlyFans, performs live via webcam, and works as a ...",0,48
60,2/5/2022,"Sen. Ted Cruz bought bitcoin during its dip last month, according to a new financial disclosure with the U.S. Senate.The Texas Republican bought between $15,001 ...",0,48
61,2/3/2022,Brian Sullivan’s daily RBI segment on Worldwide Exchange focuses today on a survey from Morning Consult that asked investors where they think Bitcoin will be ...,1,35
62,2/3/2022,"As a major winter storm descends on Texas, crypto miners are powering down operations to help ease the burden on the state’s already beleaguered power ...",1,35
63,2/3/2022,"Tighter government crypto regulations would actually be a positive catalyst for bitcoin, MicroStrategy co-founder and CEO Michael Saylor told CNBC on Wednesday.“Additional regulatory clarity from ...",1,35
64,2/1/2022,"Dan Egan, director of behavioral finance and investing at Betterment, Simeon Hyman, global investment strategist at ProShares and Todd Rosenbluth, head of ETF and mutual ...",1,36
65,1/26/2022,CNBC’s Kate Rooney reports on athletes who decided to receive payments in bitcoin and how the subsequent price drop affects each individual’s bottom line.,0,31
66,1/26/2022,"The International Monetary Fund is pushing El Salvador to ditch bitcoin as legal tender, according to a statement released on Tuesday.IMF directors “stressed that there ...",0,31
67,1/26/2022,"Buyers should cool off on cryptocurrency concerns and make some long-term investments instead, SkyBridge Capital’s Anthony Scaramucci told CNBC on Tuesday.Some people think bitcoin is ...",0,31
68,1/24/2022,"CoinDesk market analyst Damanick Dantes discusses what’s been driving the selling in Bitcoin and other cryptocurrencies, and key support levels to watch.",1,28
69,1/24/2022,Michael Bucella of BlockTower Capital says bitcoin is still a young asset class and the volatility in the market is “not all too surprising.”,1,28
70,1/24/2022,"Perianne Boring, founder and president of the Chamber of Digital Commerce, joins CNBC’s ‘Squawk Box’ to discuss bitcoin and cryptocurrency markets.",1,28
71,1/24/2022,"Bitcoin bounced into positive territory Monday after initially continuing its slide from last week.On Monday, bitcoin fell to $32,982.11, its lowest point since July, according ...",1,28
72,1/24/2022,"William Quigley, Tether co-founder, joins ‘Squawk on the Street’ to discuss recent volatility cryptocurrencies and why Bitcoin’s plunge isn’t unusual.",1,28
73,1/24/2022,"What I am looking at January 24, 2022:Will we really risk war with Russia over the failed state of Ukraine? The options: 1. Will Russia ...",1,28
74,1/22/2022,"The cryptocurrency market, along with other riskier assets, is taking a big hit.Bitcoin is down 11% in the last 24 hours, according to CoinGecko. Hitting ...",0,26
75,1/22/2022,"Jill Gunter, venture partner at Slow Ventures, joins ‘Closing Bell’ to discuss the selling in cryptocurrencies.",0,26
76,1/22/2022,Shares of MicroStrategy tumbled 17.8% Friday afternoon after the U.S. Securities and Exchange Commission reportedly rejected the company’s bitcoin accounting strategy.The business-intelligence software company’s stock ...,0,26
77,1/20/2022,"Frank Chaparro, The Block director of news, joins ‘Power Lunch’ to discuss recent slump in cryptocurrency price action, and how alternative digital currencies are doing ...",0,57
78,1/16/2022,"In March 2021, crypto entrepreneur and investor David Johnston moved his parents, wife, three daughters, and company with him to Puerto Rico. The 36-year-old, who ...",0,44
79,1/16/2022,Bitcoin bulls have long believed that the cryptocurrency’s best use is as a hedge against inflation or a safe-haven asset in times of uncertainty.In recent ...,0,44
80,1/14/2022,"Bill Miller’s craze for bitcoin continued to make his personal wealth swell, but his flagship mutual fund completely missed the mark last year as his ...",1,44
81,1/14/2022,CNBC’s Kate Rooney reports that Twitter and Block Founder Jack Dorsey has created a legal defense fund for crypto developers.,1,44
82,1/14/2022,"Jack Dorsey’s payments company Block (formerly Square) is going to start mining for bitcoin.In a string of tweets, Block’s general manager for hardware, Thomas Templeton, ...",1,44
83,1/14/2022,"MicroStrategy founder and CEO Michael Saylor joins ‘Crypto Night in America’ to discuss his company’s long-term plan for cryptocurrencies, since it’s currently sitting on more ...",1,44
84,1/14/2022,"SkyBridge Capital Founder Anthony Scaramucci, Duke Law Professor Lee Reiners, and JST Capital Co-Founder Scott Freeman, join ‘Crypto Night in America’ to discuss what’s ahead ...",1,44
85,1/14/2022,"Block founder and CEO Jack Dorsey just confirmed that the company, formerly known as Square, plans to move forward with plans to build a bitcoin ...",1,44
86,1/12/2022,"Pascal Gauthier, CEO and chairman of Ledger, speaks to CNBC’s Arjun Kharpal at the Crypto Finance Conference in St. Moritz.",1,53
87,1/12/2022,"Bitcoin’s price could nearly double to $75,000 this year as more institutional investors start to embrace the world’s most popular cryptocurrency, according to the CEO ...",1,53
88,1/12/2022,"CNBC’s Kate Rooney reports on recent bitcoin leverage, which has hit a record high and adds to the risk of volatility.",1,53
89,1/12/2022,"CoinDesk market analyst Damanick Dantes discusses the bearish sentiment driving Bitcoin and other cryptos lower in recent weeks, and the correlation between bitcoin and the ...",1,53
90,1/12/2022,Hong Fang of Okcoin discusses the short- and long-term outlook for bitcoin and the rise of non-fungible tokens.,1,53
91,1/10/2022,"The price of bitcoin fell at one point Monday to its lowest level since September, as rising rates continued leading investors to shed positions in ...",0,45
92,1/10/2022,"Alyse Killeen, founder and managing partner of bitcoin-focused venture firm Stillmark, discusses recent pricing moves around the currency and its outlook for 2022.",0,45
93,1/10/2022,"Ric Edelman, Edelman Financial Engines, joins the ‘Halftime Report’ to discuss why he believes more Americans will own bitcoin by the end of 2022. He ...",0,45
94,1/8/2022,"Peter Johnson, Jump Crypto Partner, joins ‘Closing Bell’ to discuss his views on bitcoin, which has fallen 9% this week.",1,44
95,1/8/2022,"Cryptocurrency prices slid in tandem with the broader technology sell-off and after the Kazakhstan government shut down the country’s internet, which terminated the second biggest ...",1,44
96,1/6/2022,"Bitcoin and other cryptocurrencies fell on Thursday as hawkish minutes from the Federal Reserve’s December meeting hit global risk assets.Bitcoin traded at $43,225.10, down about ...",0,66
97,1/6/2022,"BTCS Inc., a blockchain infrastructure and technology company, announced on Wednesday that it will offer the “first-ever dividend payable in bitcoin by a Nasdaq-listed company.“Dubbed ...",0,66
98,1/4/2022,Alfred Chuang of Race Capital discusses the excitement surrounding cryptocurrencies and the important role that venture capital firms play in supporting their growth.,0,71
99,1/4/2022,"Bitcoin could see further upside and surge as high as $100,000 by the middle of 2022, according to Antoni Trenchev of cryptocurrency lender Nexo.The world’s ...",0,71
100,12/31/2021,"Katie Stockton, Fairlead Strategies founder and managing partner, joins ‘Power Lunch’ to discuss the technicals behind bitcoin and what price target Stockton sees for bitcoin ...",0,66
101,12/31/2021,"Bitcoin took a beating in December — but that price plunge opens a tax loophole for investors.The cryptocurrency lost about 18% this month through Thursday, ...",0,66
102,12/29/2021,"Needham’s John Todaro joins ‘Squawk on the Street’ to discuss Todaro’s outlook for bitcoin in 2022, updates to payment mechanisms in the new year and ...",0,64
103,12/27/2021,"2021 was a wild year for cryptocurrency. Despite bitcoin’s recent plunge, for example, its price has still risen by more than 70% in the past ...",0,67
104,12/27/2021,"Anthony Pompliano, founder of Pomp Investments, joins ‘Squawk Box’ to discuss volatility in crypto markets and arguments against bitcoin because of its energy consumption.",0,67
105,12/27/2021,"Your car may be more valuable than what’s in your portfolio.Used auto prices are rising faster than bitcoin and other assets, according to market researcher ...",0,67
106,12/27/2021,"Robert McCauley, Boston University non-resident senior fellow at Global Development Policy Center and Oxford University faculty member, joins ‘TechCheck’ to lay out McCauley’s argument why ...",0,67
107,12/23/2021,"Galaxy Digital CEO Mike Novogratz joins CNBC’s ‘Squawk Box’ to discuss the omicron variant’s potential impact on markets, crypto, the Federal Reserve and more.",1,44
108,12/19/2021,"For years, the U.S. government has maintained a side hustle auctioning off bitcoin and other cryptocurrencies. Historically, Uncle Sam has done a pretty lousy job ...",0,33
109,12/17/2021,One of the most coveted holiday gifts of the year might be unexpected.Some 65% of Americans want financial investments such as stocks and cryptocurrency as ...,0,29
110,12/17/2021,"The future of bitcoin is anyone’s guess, but one academic has warned that the world’s most popular cryptocurrency could fade out in the near future.Eswar ...",0,29
111,12/17/2021,"Billionaire investor Ray Dalio is impressed with bitcoin, the largest cryptocurrency by market value, and its blockchain.“It has been an amazing accomplishment for bitcoin to ...",0,29
112,12/15/2021,CNBC’s Kate Rooney reports on Cash App’s new feature that lets users send stocks and bitcoin to other users.,1,26
113,12/15/2021,Todd Gordon of Inside Edge Capital Management and Mark Tepper of Strategic Wealth Partners discuss the latest cryptocurrency moves and how to trade the space ...,1,26
114,12/15/2021,Cryptocurrencies were on watch as the Federal Reserve kicked off its two-day meeting Tuesday.The potential end to stimulative monetary policy has cast a pall over ...,1,26
115,12/15/2021,Cryptocurrencies were on watch as the Federal Reserve kicked off its two-day meeting Tuesday.The potential end to stimulative monetary policy has cast a pall over ...,1,26
116,12/13/2021,"Elon Musk, CEO of Tesla and SpaceX, has consistently supported dogecoin, a meme-inspired cryptocurrency. He’s invested in it, along with bitcoin and ether, he said ...",0,27
117,12/11/2021,Bitcoin mining has totally recovered from the Chinese crypto crackdown that took more than half the world’s miners offline virtually overnight earlier this year.The recovery ...,1,23
118,12/11/2021,"CNBC’s Kelly Evans reports on British I.T. worker James Howells’ last-ditch effort to find a hard drive in a landfill. The drive contains 7,500 bitcoin, ...",1,23
119,12/9/2021,"When a stock or sector of the market is trading way above its intrinsic value, investors may call it a “bubble.”“We would urge caution, severe ...",0,27
120,12/9/2021,"Widely followed investor Cathie Wood said Thursday increasing allocation to bitcoin from hedge funds and other large investors could add $500,000 to the cryptocurrency’s value ...",0,27
121,12/9/2021,"Market bubbles, like what happened with GameStop and dogecoin, are investing phenomena that can occur when valuations are driven by exuberant behavior. And they can ...",0,27
122,12/9/2021,"CNBC’s ‘Squawk Box’ team sit down with Cathie Wood, CEO and CIO of Ark Invest, to discuss Ark’s latest transparency fund. Wood also breaks down ...",0,27
123,12/7/2021,"The overall cryptocurrency market took a hit over the weekend.Bitcoin, the largest cryptocurrency by market value, plunged to a low near $43,000 on Saturday night. ...",1,26
124,12/7/2021,"A man who has claimed to be the inventor of bitcoin just won a major U.S. court case, saving him from paying a former business ...",1,26
125,12/7/2021,"Caitlin Long, CEO of Avanti Bank, joins ‘Closing Bell’ to discuss bitcoin’s latest volatility.",1,26
126,12/5/2021,"Bitcoin prices bounced around on Sunday but remained below $50,000, with the volatility continuing a weekend of wild trading that sent the cryptocurrency tumbling more ...",1,21
127,12/1/2021,CNBC’s Kate Rooney joins ‘Power Lunch’ to report on Tuesday’s divergence between bitcoin and ethereum as the price action in the cryptocurrencies is non-linear.,1,57
128,11/29/2021,"Anthony Pompliano, founder of Pomp Investments, joins CNBC’s ‘Squawk Box’ to break down the recent dip in bitcoin amid concerns over the omicron coronavirus variant.",1,42
129,11/29/2021,"Bitcoin and other cryptocurrencies surged Monday after a sharp sell-off at the end of last week.The price of bitcoin climbed back above $58,000, rising 5.8% ...",1,42
130,11/25/2021,Here are the best trades on CNBC Wednesday....Market Movers rounds up the best trades from investors and analysts on CNBC throughout the day.Wednesday’s mentioned investments ...,1,38
131,11/25/2021,"Brian Kelly, BKCM founder and CEO, joins “Crypto Night in America” to discuss the state of bitcoin in 2021.",1,38
132,11/23/2021,"Most of the top cryptocurrencies by market value suffered losses this past week.Bitcoin is down nearly 14.6% in the last seven days, according to CoinGecko. ...",1,30
133,11/23/2021,"David Abner, global head of business development at cryptocurrency exchange Gemini, shares his predictions for the future of bitcoin-based exchange-traded funds. With CNBC’s Leslie Picker ...",1,30
134,11/23/2021,"El Salvador’s President Nayib Bukele just announced the country would be building a ‘Bitcoin City’ in 2022, near a volcano in the southeastern part of ...",1,30
135,11/19/2021,"Jan van Eck, VanEck CEO, joins ‘TechCheck’ to discuss the new Bitcoin Futures ETF, XBTF, shortly after the SEC rejected an ETF that tracked Bitcoin ...",1,29
136,11/19/2021,"Twitter CFO Neg Segal appeared on Thursday’s episode of “Mad Money,” explaining the social media company’s decision to forgo owning bitcoin on its balance sheet.",1,29
137,11/19/2021,MicroStrategy CEO Michael Saylor joins CNBC’s ‘Squawk Box’ to discuss investing in bitcoin and how the cryptocurrency stacks up against gold. Saylor explains why he ...,1,29
138,11/17/2021,"Jim Cramer, Brian Nagel of Oppenheimer, Michael Lasser of UBS, Joel Kulina of Wedbush Securities, Jon Najarian of MarketRebellion.com, Josh Brown of Ritholtz Wealth Management, ...",1,30
139,11/17/2021,"Peter Boockvar, chief investment officer at the Bleakley Advisory Group, joins ‘The Exchange’ with his take on the debate over gold and Bitcoin as a ...",1,30
140,11/15/2021,Mark Yusko of Morgan Creek Capital Management discusses how the big Taproot upgrade will impact Bitcoin investing and trading.,0,40
141,11/15/2021,"Jon Najarian of Market Rebellion discusses the big moves he’s seeing in NFTs, plus the companies that are powering the crypto mining market.",0,40
142,11/15/2021,"Jim Davolos, portfolio manager at Horizon Kinetics, and Anna Paglia, global head of ETFs and index strategy, join Bob Pisani on ETF Edge to discuss ...",0,40
143,11/15/2021,"CNBC’s ETF Edge is dedicated to the fastest-growing trend in investing right now: ETFs. Every Monday, Bob Pisani will be joined by a panel of ...",0,40
144,11/15/2021,"Tom Lee of Fundstrat Global Advisors, joins ‘TechCheck’ to discuss his company’s belief of an everything rally and how stocks will fare for the remainder ...",0,40
145,11/15/2021,"Adam Parker, Trivariate Capital Management founder & CIO, joins ‘Squawk on the Street’ to discuss how investors should invest in cryptocurrencies today.",0,40
146,11/15/2021,"Investors looking to hedge against rising price pressures should not buy gold or bitcoin, according to Guy Spier, who started Aquamarine Capital after being inspired ...",0,40
147,11/13/2021,"Taproot, a highly anticipated upgrade to bitcoin, went into effect on Sunday at block 709,632.This is bitcoin’s first major upgrade since 2017, and it will ...",1,36
148,11/11/2021,"Kavita Gupta, Fintech.tv co-founder and founder of the Delta Blockchain Fund, joins ‘Squawk Box’ to discuss the SEC’s looming deadline for the first spot bitcoin ...",0,54
149,11/9/2021,"SINGAPORE — Shares in Asia-Pacific were mixed on Tuesday following overnight gains on Wall Street that took the major indexes to record closing highs. Meanwhile, ...",0,56
150,11/9/2021,"Criminals are cashing in on bitcoin ATMs around the country, using the convenient, largely anonymous transactions for drug trafficking, money laundering and a variety of ...",0,56
151,11/9/2021,"Patrons of restaurants including Bubba Gump Shrimp, Morton’s The Steakhouse, and the Rainforest Cafe will soon have the option to earn bitcoin every time they ...",0,56
152,11/9/2021,"Is bitcoin the new gold?Not according to two of the world’s leading gold authorities, but the cryptocurrency’s rise is a phenomenon they can’t help but ...",0,56
153,11/9/2021,CNBC’s Eamon Javers joins Shep Smith to report on bitcoin automated teller machines and how some can be a target for fraud.,0,56
154,11/9/2021,"George Milling-Stanley, chief gold strategist at State Street’s SPDR ETFs, and GraniteShares founder and CEO Will Rhind break down the divergence between gold and bitcoin ...",0,56
155,11/9/2021,"Bitcoin and ether hit fresh all-time highs on Tuesday, extending their rally from a day earlier.Bitcoin’s price at one point rose above $68,000, eclipsing a ...",0,56
156,11/5/2021,"New York City mayor-elect Eric Adams plans to take his first three paychecks in bitcoin, in the politician’s latest move to give Miami a run ...",0,32
157,10/28/2021,"Richard Bernstein Advisors’ Rich Bernstein, an Institutional Hall of Famer, is worried investors are getting too deep in risky trades and investments.",1,45
158,10/28/2021,"Kris Marszalek, co-founder and CEO of Crypto.com, joins ‘Squawk Box’ to discuss how investors should navigate fluctuating crypto prices.",1,45
159,10/28/2021,"The chief of a new and rapidly growing platform for crypto offerings sees bitcoin hitting $100,000 by the start of next year.CoinList CEO Graham Jenkin ...",1,45
160,10/28/2021,"A plunge may be looming for cryptocurrencies, housing and disruptive technology stocks tied to innovation.According to Rich Bernstein, an Institutional Investor Hall of Famer, the ...",1,45
161,10/28/2021,"The Securities and Exchange Commission has asked at least one asset manager not to proceed with plans for a leveraged Bitcoin ETF, the Wall Street ...",1,45
162,10/26/2021,ETF Trends CEO Tom Lydon and Valkyrie Funds Chief Investment Officer Steven McClurg analyze how recent developments in the bitcoin market could impact cryptocurrencies at ...,0,68
163,10/26/2021,Valkyrie Funds Chief Investment Officer Steven McClurg and ETF Trends CEO Tom Lydon discuss the main concerns around bitcoin futures ETFs with CNBC’s Bob Pisani.,0,68
164,10/26/2021,The man behind the second-ever bitcoin futures-based exchange-traded fund doesn’t share concerns around how accurately his product will track the price of the red-hot cryptocurrency.It’s ...,0,68
165,10/24/2021,"This week marked a milestone for cryptocurrency as investors started trading the first U.S. bitcoin futures exchange-traded fund, exceeding other ETF launches, and another followed ...",0,65
166,10/22/2021,CNBC’s Kate Rooney reports on the latest moves in bitcoin which is following a rally to hit an all-time high.,0,69
167,10/22/2021,CEO of crypto exchange FTX sees the introduction of BITO on NYSE as a good first step as the company eyes the U.S. for potential ...,0,69
168,10/20/2021,"Nasdaq CEO Adena Friedman joins ‘Squawk Box’ to discuss Nasdaq’s latest quarterly earnings report, as well as the first bitcoin futures ETF from ProShares, the ...",1,74
169,10/20/2021,"The ProShares Bitcoin Strategy ETF made its public debut on Tuesday, marking a key milestone for the cryptocurrency industry and bitcoin’s broader acceptance among investors.The ...",1,74
170,10/20/2021,"Jay Clayton, former SEC chairman and non-executive chair at Apollo Global Management, joins ‘Squawk Box’ to discuss the first Bitcoin futures ETF from ProShares.",1,74
171,10/20/2021,"OKCoin CEO Hong Fang discusses the launch of the first U.S. bitcoin futures ETF, and cautions that while the increasing number of financial instruments coming ...",1,74
172,10/20/2021,Rich Repetto of Piper Sandler joins ‘Power Lunch’ to discuss the investment bank’s recent call on Coinbase with an overweight rating and a $335 price ...,1,74
173,10/20/2021,Bitcoin notched a fresh all-time high Wednesday as investors cheered the successful launch of the first U.S. bitcoin futures exchange-traded fund.The world’s largest cryptocurrency climbed ...,1,74
174,10/20/2021,"Jay Clayton, former SEC chairman and non-executive chair at Apollo Global Management, joins ‘Squawk Box’ to discuss the first Bitcoin futures ETF from ProShares.",1,74
175,10/20/2021,"CNBC.com’s Pippa Stevens brings you the day’s top business news headlines. On today’s show, CNBC.com’s Tanaya Macheel reports on the first U.S. bitcoin ETF, which ...",1,74
176,10/20/2021,"The first bitcoin futures ETF is off to a solid start this week, opening a new way to trade the volatile-but-booming cryptocurrency.The ProShares Bitcoin Strategy ...",1,74
177,10/20/2021,"Bitcoin, the largest cryptocurrency by market value, hit an all-time high on Wednesday.It topped $66,000 on Wednesday morning, surpassing its previous record of $64,899 set ...",1,74
178,10/18/2021,CNBC’s MacKenzie Sigalos reports on bitcoin’s price moves ahead of the first bitcoin futures ETF.,1,81
179,10/18/2021,"Simeon Hyman, global investment strategist at ProShares, joins Bob Pisani on the Halftime Report to discuss his company’s bitcoin futures ETF. It’s the first of ...",1,81
180,10/18/2021,Grayscale CEO Michael Sonnenshein joins CNBC’s ‘Squawk Box’ to discuss the first bitcoin ETF to trade in U.S. markets and what that means for other ...,1,81
181,10/18/2021,"Carl Icahn, chairman of Icahn Enterprises, joins Halftime Report and tells Scott Wapner he’s not involved in Bitcoin because he doesn’t understand it. However, he ...",1,81
182,10/18/2021,"Billionaire investor Carl Icahn said Monday he isn’t buying bitcoin, but the digital asset could have value if inflation gets out of hand.“We do a ...",1,81
183,10/18/2021,"CNBC’s ETF Edge is dedicated to the fastest-growing trend in investing right now: ETFs. Every Monday, Bob Pisani will be joined by a panel of ...",1,81
184,10/18/2021,A bitcoin bull is on pullback watch.Hedge fund manager Mark Yusko believes investors will take profits due to the cryptocurrency’s sharp rally over the last ...,1,81
185,10/18/2021,"To billionaire investor Mark Cuban, bitcoin has a major edge over other cryptocurrencies.It has “a HUGE advantage” in that it has “ZERO competition” as a ...",1,81
186,10/18/2021,"The arrival of the first bitcoin-futures ETF should improve an already bullish environment for the cryptocurrency, Fundstrat’s Tom Lee said Monday.ProShares announced Monday that its ...",1,81
